id,age,finance,week,arrest,race,work.exp,married,parole,prior,educ,employ1
59,20,yes,52,0,black,yes,not married,yes,0,3,no
60,42,yes,52,0,black,yes,not married,no,9,4,no
61,19,no,6,1,black,no,not married,no,6,3,no
62,22,no,52,0,black,yes,not married,no,2,4,no
63,22,no,52,0,black,no,not married,yes,5,4,no
64,36,no,52,0,black,no,not married,no,11,3,no
65,23,no,52,1,black,yes,not married,no,2,4,no
66,27,yes,52,0,black,yes,not married,yes,3,3,no
67,21,yes,52,0,black,no,not married,yes,1,3,no
68,22,yes,52,0,black,yes,not married,yes,2,3,no
69,35,no,49,1,black,yes,not married,yes,3,2,no
70,21,no,52,0,black,yes,not married,yes,4,3,no
71,25,yes,52,0,black,yes,not married,yes,5,3,no
72,18,no,52,0,black,no,not married,yes,0,3,no
73,26,yes,52,0,black,yes,not married,yes,2,4,no
74,30,no,52,0,black,yes,not married,no,4,2,no
75,20,no,52,0,black,no,not married,yes,2,4,no
76,43,yes,52,0,black,yes,not married,yes,1,4,yes
77,23,no,43,1,black,yes,married,yes,4,3,yes
78,42,no,52,0,other,yes,not married,no,2,6,no
79,21,no,52,0,other,no,not married,no,2,3,no
80,19,no,5,1,black,no,not married,no,3,3,no
81,29,no,27,1,black,no,not married,no,4,3,no
82,30,no,52,0,black,yes,not married,yes,3,2,no
83,21,yes,52,0,other,yes,married,yes,10,3,no
84,20,no,52,0,black,no,not married,yes,7,3,no
85,19,yes,22,1,black,no,not married,yes,10,3,no
86,22,yes,52,0,black,yes,not married,yes,1,5,no
87,25,no,52,0,black,no,not married,yes,3,3,no
88,22,no,18,1,black,no,not married,no,4,4,yes
89,22,yes,52,0,black,yes,not married,yes,4,3,no
90,24,yes,52,0,black,no,not married,yes,2,4,no
91,39,no,52,0,black,yes,married,yes,4,3,yes
92,21,no,52,0,black,yes,not married,yes,1,3,no
93,20,yes,52,0,black,yes,not married,yes,2,3,no
94,24,yes,52,0,black,no,not married,no,1,3,no
95,25,no,52,0,black,yes,not married,yes,2,6,no
96,21,yes,24,1,black,yes,not married,no,4,3,no
97,20,yes,52,0,black,no,not married,yes,1,3,no
98,19,yes,52,0,black,no,not married,yes,3,4,no
99,24,yes,52,0,black,no,not married,no,2,4,no
100,24,yes,52,0,black,yes,not married,yes,1,4,no
101,44,no,2,1,black,yes,not married,yes,2,5,no
102,32,no,26,1,black,yes,not married,no,2,4,no
103,23,no,52,0,black,yes,not married,no,3,3,no
104,19,yes,49,1,black,no,not married,yes,1,4,no
105,20,no,52,0,black,no,not married,yes,1,3,no
106,27,no,21,1,black,yes,not married,yes,0,3,no
107,19,no,48,1,black,no,not married,no,6,3,no
108,21,yes,52,0,black,yes,not married,no,1,3,no
109,20,no,52,0,black,no,not married,yes,1,4,no
110,25,no,52,0,black,no,not married,yes,3,2,no
111,20,no,52,0,black,no,not married,yes,6,3,no
112,23,yes,52,0,black,yes,not married,yes,3,4,no
113,20,no,52,0,black,no,not married,no,2,3,no
114,30,yes,52,0,black,yes,not married,no,1,4,no
115,25,no,52,0,black,yes,married,yes,0,4,yes
116,22,no,52,0,black,yes,not married,yes,1,3,yes
117,24,no,52,0,black,yes,not married,yes,3,3,yes
118,18,yes,52,0,black,no,not married,no,4,3,no
119,40,yes,8,1,black,yes,not married,yes,1,5,no
120,22,no,52,0,black,no,not married,yes,1,5,no
121,23,yes,52,0,black,no,not married,yes,6,3,no
122,21,no,49,1,black,yes,not married,yes,1,3,no
123,24,yes,52,0,other,yes,married,yes,2,3,no
124,24,yes,52,0,black,no,not married,yes,14,3,no
125,38,no,52,0,black,yes,not married,yes,2,3,no
126,26,no,52,0,other,yes,not married,no,3,3,yes
127,29,yes,52,0,black,yes,not married,no,1,3,yes
128,21,no,52,0,black,no,not married,yes,8,3,yes
129,21,yes,52,0,black,yes,married,yes,2,4,no
130,22,no,52,0,other,no,not married,yes,4,3,no
131,23,no,8,1,black,no,not married,yes,5,3,no
132,27,no,52,0,black,yes,not married,no,2,4,no
133,18,yes,52,0,black,no,not married,yes,2,3,no
134,23,no,13,1,black,no,not married,no,5,3,no
135,24,yes,52,0,black,no,not married,yes,2,3,no
136,21,yes,52,0,black,no,not married,no,3,4,no
137,20,yes,52,0,black,no,not married,yes,4,2,no
138,27,yes,52,0,black,yes,not married,no,4,3,yes
139,20,yes,8,1,black,no,not married,yes,11,4,no
140,29,yes,52,0,black,yes,married,yes,5,4,yes
141,19,no,33,1,black,no,not married,no,10,4,no
142,20,no,52,0,black,no,not married,no,8,3,no
143,18,yes,52,0,black,no,not married,yes,0,3,no
144,19,yes,11,1,black,no,not married,yes,2,3,no
145,24,yes,52,0,black,yes,not married,yes,1,5,no
146,28,no,52,0,other,yes,not married,yes,4,3,no
147,26,yes,52,0,black,no,not married,no,4,3,no
148,17,yes,52,0,black,no,not married,yes,0,3,yes
149,21,no,52,0,black,no,not married,yes,3,3,no
150,34,no,37,1,black,yes,not married,no,2,3,no
151,26,yes,52,0,black,yes,not married,no,1,4,no
152,43,yes,52,0,black,yes,not married,yes,2,6,no
153,20,no,52,0,black,no,not married,yes,0,4,no
154,20,no,44,1,black,yes,not married,yes,1,3,no
155,32,no,52,0,black,yes,not married,yes,1,4,no
156,25,no,52,1,other,yes,not married,yes,1,3,yes
157,22,yes,52,0,black,no,not married,yes,1,3,no
158,31,yes,52,0,other,yes,not married,yes,1,3,no
159,42,yes,52,0,black,yes,married,yes,4,3,yes
160,32,yes,52,0,black,yes,not married,no,10,3,no
161,20,yes,52,0,black,no,not married,no,8,3,no
162,20,no,52,0,other,no,not married,no,1,3,no
163,36,yes,52,0,black,no,not married,yes,8,3,no
164,34,yes,52,0,black,yes,not married,yes,2,3,no
165,28,yes,52,0,black,yes,married,yes,3,2,no
166,21,yes,52,0,black,yes,not married,yes,2,3,no
167,18,no,52,0,other,no,not married,yes,6,3,no
168,20,yes,52,0,other,no,not married,yes,4,3,yes
169,17,no,52,0,other,no,not married,yes,3,2,yes
170,44,yes,52,0,black,no,not married,yes,3,2,no
171,30,yes,52,0,black,yes,not married,yes,5,4,no
172,22,yes,52,0,black,no,not married,no,11,3,no
173,30,yes,9,1,black,no,not married,no,3,4,no
174,23,no,17,1,black,no,not married,no,8,3,no
175,20,yes,52,0,black,yes,not married,no,2,4,no
176,19,no,52,0,black,no,not married,no,10,2,no
177,21,yes,52,0,black,no,not married,yes,1,4,no
178,22,yes,52,0,black,no,not married,yes,6,6,no
179,19,yes,52,0,black,no,not married,yes,2,3,yes
180,21,yes,52,0,black,no,not married,no,10,3,no
181,38,no,16,1,black,no,not married,yes,3,3,yes
182,24,yes,52,0,black,no,not married,no,7,4,no
183,39,yes,52,0,black,yes,married,no,2,5,yes
184,30,no,3,1,black,no,not married,yes,3,3,no
185,37,no,52,0,black,yes,not married,no,0,2,no
186,23,yes,52,0,black,no,not married,yes,2,6,no
187,21,no,52,0,other,no,not married,yes,1,3,no
188,31,yes,52,0,black,yes,not married,yes,1,3,no
189,24,yes,52,0,black,no,not married,no,13,4,no
190,31,no,52,0,other,yes,married,yes,3,3,yes
191,24,no,52,0,black,no,not married,yes,2,5,yes
192,24,yes,52,0,black,yes,not married,yes,1,6,no
193,21,yes,52,0,other,yes,not married,no,1,3,yes
194,22,yes,52,0,black,no,not married,no,2,3,no
195,20,no,45,1,black,no,not married,yes,5,3,no
196,21,yes,52,0,black,yes,not married,yes,0,4,yes
197,24,yes,52,0,black,yes,not married,yes,2,3,no
198,25,no,52,0,black,yes,not married,yes,1,3,yes
199,19,no,52,0,black,no,not married,yes,1,3,no
200,20,no,52,0,other,no,not married,no,2,3,no
201,20,no,52,0,black,yes,not married,yes,4,3,no
202,24,no,28,1,black,yes,not married,no,1,4,no
203,18,yes,52,0,black,no,not married,no,4,3,no
204,28,yes,16,1,black,no,not married,yes,5,3,no
205,19,yes,15,1,black,no,not married,no,4,3,no
206,19,no,52,0,black,yes,not married,no,1,4,no
207,25,no,52,0,black,yes,married,no,0,4,no
208,19,yes,52,0,other,no,not married,no,1,3,no
209,25,yes,52,0,black,no,not married,no,2,6,no
210,24,no,14,1,black,no,not married,no,0,3,no
211,20,yes,52,0,black,yes,not married,yes,1,4,no
212,30,yes,52,0,black,no,not married,yes,1,3,no
213,29,no,52,0,black,yes,not married,yes,4,4,no
214,28,no,52,0,other,yes,married,yes,4,3,no
215,36,yes,52,0,black,no,not married,yes,1,3,no
216,23,yes,52,0,black,yes,not married,no,7,3,no
217,23,yes,52,0,black,no,not married,no,2,6,no
218,24,no,52,0,black,yes,not married,yes,4,3,no
219,29,no,52,0,black,yes,married,yes,1,3,no
220,26,no,52,0,black,yes,married,yes,2,3,no
221,39,no,52,0,other,yes,married,no,3,3,yes
222,20,yes,52,0,black,yes,not married,yes,1,3,no
223,23,no,52,0,black,yes,not married,yes,3,4,no
224,21,yes,52,0,black,yes,not married,yes,2,4,no
225,21,yes,52,0,black,no,not married,yes,1,3,yes
226,20,yes,7,1,other,no,not married,yes,2,3,no
227,20,yes,52,0,other,no,not married,yes,3,3,no
228,27,yes,52,0,black,yes,not married,yes,2,3,no
229,18,no,43,1,other,yes,not married,no,3,3,no
230,25,yes,46,1,black,yes,not married,no,1,4,no
231,20,yes,40,1,black,no,not married,no,6,3,yes
232,20,yes,52,0,black,yes,not married,no,5,5,no
233,20,no,14,1,other,no,not married,no,7,3,no
234,24,no,52,0,other,yes,married,no,11,3,no
235,23,yes,52,0,black,no,not married,no,1,3,no
236,28,no,8,1,black,yes,not married,no,4,4,no
237,21,no,52,0,black,no,not married,no,2,4,no
238,25,no,52,0,black,no,not married,no,1,3,no
239,24,no,52,0,black,yes,not married,yes,1,4,no
240,29,no,52,0,black,yes,married,no,3,5,no
241,22,no,52,0,black,yes,married,yes,2,4,no
242,28,no,25,1,black,no,not married,yes,18,3,no
243,19,no,52,0,black,no,not married,yes,1,4,no
244,20,no,52,0,black,yes,not married,yes,1,5,no
245,20,no,17,1,black,no,not married,yes,5,3,no
246,22,yes,37,1,black,yes,not married,yes,1,3,no
247,20,no,52,0,black,no,not married,yes,8,3,no
248,21,yes,52,0,black,no,not married,yes,2,4,no
249,21,yes,52,0,black,yes,not married,yes,1,4,no
250,19,no,32,1,black,no,not married,yes,3,3,no
251,26,no,52,0,black,yes,not married,yes,1,2,no
252,23,no,52,0,black,yes,married,yes,2,3,no
253,22,yes,52,0,other,yes,not married,yes,4,3,yes
254,24,yes,52,0,black,yes,not married,no,8,4,no
255,40,yes,52,0,black,no,not married,no,5,2,no
256,32,yes,52,0,black,no,not married,no,2,3,no
257,38,no,52,0,black,yes,not married,no,0,4,no
258,26,no,52,0,black,yes,not married,yes,1,3,no
259,27,yes,12,1,black,yes,not married,yes,0,5,no
260,29,no,52,0,black,yes,married,yes,3,4,no
261,20,no,18,1,black,yes,not married,yes,4,4,no
262,22,no,52,0,black,no,not married,no,1,3,no
263,22,no,52,0,other,no,not married,no,5,4,yes
264,19,yes,14,1,black,yes,not married,no,12,4,no
265,22,no,52,0,black,yes,not married,no,1,3,no
266,19,no,52,0,black,no,not married,no,3,3,no
267,32,yes,52,0,black,yes,not married,no,1,3,no
268,25,yes,52,0,black,yes,not married,yes,2,4,no
269,21,no,38,1,black,no,not married,yes,2,2,no
270,36,yes,52,0,black,yes,not married,yes,1,2,no
271,40,no,24,1,black,yes,not married,no,2,2,no
272,20,yes,20,1,black,no,not married,yes,1,3,no
273,19,yes,32,1,black,no,not married,yes,0,4,yes
274,18,no,52,0,black,no,not married,yes,4,4,no
275,28,yes,52,0,black,yes,not married,no,0,4,yes
276,22,yes,52,0,black,yes,not married,no,2,4,no
277,25,yes,52,0,black,no,not married,yes,1,5,no
278,28,yes,52,0,black,yes,not married,no,2,3,no
279,25,yes,52,0,black,yes,not married,no,2,3,no
280,20,yes,52,0,black,yes,not married,no,4,5,no
281,24,yes,52,0,black,no,not married,no,5,3,no
282,24,no,52,0,black,yes,not married,no,0,4,no
283,36,yes,52,0,other,yes,not married,yes,2,4,no
284,34,yes,52,0,black,yes,not married,no,1,5,no
285,19,no,31,1,black,yes,not married,yes,5,3,no
286,23,yes,20,1,black,no,not married,yes,1,3,no
287,19,no,40,1,black,yes,not married,yes,3,3,no
288,40,yes,52,0,black,yes,not married,no,2,4,no
289,31,yes,52,0,black,yes,not married,no,2,4,no
290,23,no,52,0,black,yes,married,yes,0,4,yes
291,42,no,52,0,black,no,not married,yes,2,3,no
292,26,yes,42,1,black,yes,married,yes,1,6,no
293,20,no,52,0,black,no,not married,yes,9,3,no
294,27,no,26,1,black,yes,not married,yes,1,5,no
295,24,yes,52,0,black,no,not married,no,5,3,no
296,25,no,52,0,black,no,not married,no,2,5,no
297,22,yes,52,0,black,yes,not married,yes,3,4,no
298,20,yes,52,0,black,no,not married,yes,2,4,no
299,20,yes,52,0,black,yes,not married,yes,2,4,no
300,22,no,47,1,black,no,not married,yes,3,3,no
301,18,no,52,0,black,yes,not married,yes,1,4,no
302,20,no,52,0,black,yes,not married,yes,2,3,no
303,20,no,40,1,black,yes,not married,yes,1,3,no
304,22,no,52,0,black,yes,not married,yes,2,4,no
305,30,yes,52,0,black,yes,married,no,2,3,no
306,36,no,52,0,other,yes,not married,no,1,5,yes
307,25,no,52,0,other,yes,married,yes,5,3,yes
308,29,no,21,1,black,no,not married,yes,3,2,no
309,19,no,52,0,black,yes,not married,yes,3,4,yes
310,24,yes,52,0,black,yes,not married,yes,2,3,no
311,21,yes,52,0,black,no,not married,no,0,3,no
312,35,yes,52,0,black,yes,not married,yes,6,3,no
313,19,yes,52,0,other,yes,not married,no,4,3,no
314,20,no,1,1,black,no,not married,no,0,3,no
315,22,no,43,1,other,no,not married,no,3,3,no
316,23,no,24,1,black,yes,not married,no,1,3,yes
317,19,no,11,1,black,no,not married,no,18,4,no
318,18,no,52,0,black,no,not married,yes,3,3,no
319,38,yes,52,0,other,yes,not married,yes,2,3,no
320,18,yes,52,0,other,no,not married,yes,6,4,no
321,22,no,52,0,black,yes,married,yes,1,4,no
322,21,no,33,1,black,no,not married,yes,3,3,no
323,21,no,52,0,black,yes,not married,yes,1,4,yes
324,21,yes,46,1,black,no,not married,yes,5,3,no
325,17,yes,36,1,black,no,not married,yes,3,3,no
326,22,yes,52,0,black,yes,not married,yes,1,4,no
327,23,yes,52,0,black,yes,married,yes,0,5,no
328,19,yes,18,1,black,no,not married,yes,4,3,no
329,21,yes,52,0,black,yes,not married,no,1,4,no
330,35,yes,52,0,black,yes,not married,no,5,3,yes
331,23,no,50,1,black,yes,not married,no,8,3,no
332,22,yes,52,0,black,no,not married,no,2,4,no
333,25,yes,34,1,black,no,not married,no,11,3,no
334,20,yes,52,0,black,yes,not married,no,4,3,no
335,19,yes,35,1,other,no,not married,no,1,3,no
336,20,no,52,0,black,no,not married,no,1,5,no
337,41,yes,52,0,other,yes,married,yes,3,2,no
338,23,no,39,1,other,yes,not married,yes,4,3,no
339,26,yes,9,1,black,yes,not married,no,0,3,no
340,26,no,52,0,black,no,not married,no,2,3,no
341,38,yes,52,0,black,yes,not married,yes,1,4,no
342,27,no,52,0,black,yes,not married,yes,1,5,no
343,19,yes,34,1,black,no,not married,yes,3,3,no
344,25,no,52,0,black,yes,not married,no,1,2,no
345,30,yes,52,0,black,yes,not married,no,2,3,no
346,42,yes,52,0,black,yes,not married,no,1,5,no
347,20,no,44,1,black,yes,not married,yes,2,3,no
348,23,yes,52,0,black,yes,not married,yes,1,4,no
349,21,no,52,0,black,no,not married,yes,3,3,yes
350,20,yes,35,1,black,yes,not married,no,3,3,yes
351,17,no,30,1,black,no,not married,no,1,4,no
352,26,yes,39,1,black,no,married,no,5,3,no
353,24,yes,52,0,black,yes,not married,yes,1,3,no
354,37,no,52,0,black,yes,married,yes,1,3,yes
355,28,no,52,0,black,yes,married,yes,1,6,no
356,33,no,52,0,black,yes,not married,yes,0,4,yes
357,22,yes,19,1,black,no,not married,yes,4,3,no
358,25,no,52,0,black,yes,married,yes,2,5,no
359,20,no,43,1,other,no,married,no,10,3,no
360,20,no,52,0,black,no,not married,no,1,4,yes
361,24,yes,48,1,other,yes,not married,no,4,3,no
362,26,yes,37,1,other,no,not married,no,11,5,no
363,26,yes,20,1,black,yes,not married,yes,1,4,no
364,25,no,52,0,other,yes,not married,yes,1,6,no
365,26,no,52,0,black,yes,not married,yes,1,4,no
366,23,yes,36,1,black,no,not married,no,3,3,no
367,28,yes,52,0,black,no,not married,yes,4,3,no
368,27,no,52,0,black,yes,not married,yes,0,5,no
369,23,yes,52,0,black,no,not married,no,3,4,no
370,17,no,52,0,black,no,not married,yes,7,3,no
371,20,no,52,0,other,no,not married,yes,4,5,no
372,20,yes,52,0,black,no,not married,yes,5,3,no
373,20,yes,52,0,other,no,not married,yes,9,3,no
374,22,yes,30,1,black,yes,not married,yes,2,4,no
375,31,no,52,0,black,no,not married,yes,1,3,no
376,43,no,52,0,black,yes,not married,no,1,5,yes
377,29,no,52,0,black,yes,not married,no,1,4,no
378,21,yes,52,0,black,no,not married,no,0,4,no
379,24,no,52,0,other,yes,not married,no,2,3,no
380,30,yes,52,0,black,yes,married,no,3,4,no
381,22,no,52,0,black,yes,not married,no,0,5,no
382,26,yes,52,0,black,yes,married,no,1,4,no
383,20,yes,42,1,black,yes,not married,no,0,3,no
384,23,no,52,0,black,yes,not married,no,6,4,no
385,25,no,52,0,black,yes,not married,yes,5,3,no
386,40,yes,52,0,black,yes,not married,yes,2,5,no
387,30,yes,52,0,black,yes,married,yes,0,3,no
388,22,no,26,1,black,no,married,yes,2,3,no
389,18,no,40,1,black,no,not married,yes,2,4,no
390,18,no,52,0,black,no,not married,yes,0,2,no
391,24,no,52,0,black,yes,not married,yes,2,5,no
392,25,yes,52,0,black,yes,married,yes,2,5,no
393,19,yes,35,1,black,no,not married,yes,2,3,no
394,24,no,52,0,black,yes,not married,yes,2,3,yes
395,24,no,46,1,black,no,married,yes,2,3,no
396,18,no,52,0,black,yes,not married,yes,3,5,no
397,18,yes,49,1,black,yes,not married,yes,0,4,no
398,23,no,52,0,black,yes,not married,no,0,3,yes
399,20,no,52,0,black,no,not married,yes,2,3,no
400,18,yes,49,1,black,yes,not married,yes,1,3,no
401,23,no,52,0,black,yes,not married,yes,2,5,no
402,20,yes,52,0,black,no,not married,yes,1,3,no
403,23,no,52,0,black,no,not married,no,5,3,no
404,23,no,52,0,black,yes,not married,yes,1,4,no
405,23,no,52,0,black,yes,married,yes,2,3,no
406,20,no,35,1,black,yes,not married,yes,4,3,no
407,26,yes,52,0,black,yes,married,no,4,2,no
408,30,yes,52,0,black,no,not married,no,1,3,yes
409,36,yes,52,0,other,yes,not married,no,4,3,yes
410,43,yes,52,0,black,yes,not married,no,4,3,no
411,20,no,27,1,other,yes,not married,no,1,3,no
412,24,yes,52,0,black,yes,not married,yes,1,3,no
413,22,no,52,0,black,yes,not married,no,1,2,no
414,20,yes,52,0,black,no,married,no,1,3,no
415,21,no,52,1,black,no,not married,no,0,3,no
416,18,yes,45,1,black,no,not married,no,5,3,no
417,18,no,4,1,black,yes,not married,no,1,4,no
418,33,no,52,1,black,yes,not married,yes,2,4,yes
419,19,yes,36,1,black,no,not married,yes,2,3,no
420,21,yes,52,0,other,yes,not married,yes,1,5,no
421,21,yes,52,0,black,no,not married,yes,1,4,no
422,21,yes,8,1,black,yes,not married,yes,4,3,no
423,22,yes,15,1,black,no,not married,yes,3,4,no
424,18,no,52,0,black,no,not married,yes,3,3,no
425,18,no,19,1,black,no,not married,no,2,3,no
426,24,no,52,0,black,yes,not married,yes,2,4,no
427,22,yes,12,1,black,yes,married,yes,2,4,no
428,31,yes,52,0,other,yes,not married,yes,3,3,no
429,20,no,52,0,black,no,not married,yes,1,4,no
430,20,yes,52,0,black,yes,married,yes,1,3,no
431,29,no,52,0,black,yes,not married,yes,3,4,yes
432,24,yes,52,0,black,yes,not married,yes,1,4,yes
